
|Korsika - ein Herz und zwei Seelen|Korsika, genannt die "Insel der Schoenheit" - ist voller krasser Gegensaetze: im Landesinneren die raue Bergwelt, mit einsamen Doerfern, die lange Zeit von der Aussenwelt abgeschnitten waren. An der Kueste Traumstraende und versteckte Buchten mit tuerkisb lauem Wasser. Seit jeher war das Leben im Sueden Korsikas unbeschwerter - dort haben die Menschen schnell begriffen, dass der Tourismus fuer sie die Einnahmequelle der Zukunft ist. Wenn die korsische Seele eine Heimat hat, dann im Landesinneren. Die Castagniccia ist eine der unwirtlichsten Gegenden und zugleich das Herz von Korsika ...|2014|/mnt/Aufnahmen/2014/20140204 1710 - 3sat HD - Korsika - ein Herz und zwei Seelen.eit
|Luegen macht erfinderisch-y geru (|(Invention of Lying - Komoedie, USA 2009)?UEberaus witzige, feinsinnige Satire voller gelungener Gags. Starkomiker Ricky Gervais ('The Office', 'Extras') lebt in einer Welt, in der nur die Wahrheit zaehlt - bis er eines Tages das Luegen erfindet und vo m Loser zum Gewinnertypen avanciert. Hochkaraetig besetzt bis in die kleinste Nebenrolle, ein wahres Feuerwerk an treffsicheren Pointen!??In der Welt von Drehbuchautor Mark Bellison sagt jeder, was er denkt. Auch wenn die Wahrheit schmerzt und taktl os klingt, es wird einfach nie gelogen. Und so weiss Mark, dass ihn keiner leiden kann. Als Kollege ist er naemlich unertraeglich. Am meisten kraenkt ihn jedoch, dass seine Traumfrau Anna nichts von ihm wissen will. Schon allein wegen seiner dicklichen Statur ist ihr Marks Typ zuwider. Als er seinen Job verliert und finanziell vor dem Ruin steht, rutscht ihm die erste Luege der Menschheit ueber die Lippen. Ploetzlich laeuft in Marks Leben alles wie geschmiert!?Mit Ricky Gervais (Mark Bellison), Jenn ifer Garner (Anna McDoogles), Jonah Hill (Frank), Louis C.K. (Greg), Jeffrey Tambor (Anthony), Fionnula Flanagan (Martha Bellison), Rob Lowe (Brad Kessler), Tina Fey (Shelley), Jason Bateman (Arzt), Philip Seymour Hoffman (Jim, der Barkeeper) u.a.? Regie: Ricky Gervais, Matthew Robinson?90.37|2014|/mnt/Aufnahmen/2014/20140322 2209 - ORF1 HD - LA 1/4 gen macht erfinderisch.eit
|Raumpatrouille Orion - Ruecksturz ins Kino  Spielf|"Orion"-Commander Cliff Allister McLane wird wegen wiederholter Befehlsverweigerung zur Raumpatrouille strafversetzt. Um den Draufgaenger zu zaehmen, stellt die Raumbehoerde ihm die biestige Agentin Tamara Jagellovsk als Aufpasserin zur Seite. Schon a uf dem ersten Patrouillenflug kommt es zwischen den beiden zu erbitterten Zwistigkeiten.|2014|/mnt/Aufnahmen/2014/20140422 2355 - BR Nord HD - Raumpatrouille Orion - RA 1/4 cksturz ins Kino.eit
|Wildnisse im Herzen Europas - OEsterreichs Nationalparks|Vom Gletscher bis zum Steppensee beherbergt OEsterreich Landschaften, wie sie unterschiedlicher nicht sein koennten. Das schroffe Hochgebirge der Hohen Tauern, die wilden Waelder der Kalkalpen, die Aulandschaften der Donau vor Wien, die salzhaltigen L acken des Neusiedler Sees, die senkrechten Felswaende im Gesaeuse und die Maeander des Thayatals - sechs einzigartige Lebensraeume, sechs Paradiese der Artenvielfalt, die eines verbindet: Sie alle werden von Nationalparks behuetet. ...|2014|/mnt/Aufnahmen/2014/20140526 1605 - 3sat HD - Wildnisse im Herzen Europas - A?sterreichs Nationalparks.eit
|Catwoman- geru Patience Philips kommt in dem Kosmetik-Konzern, in dem sie taetig ist,|Patience Philips kommt in dem Kosmetik-Konzern, in dem sie taetig ist, einem brisanten Geheimnis auf die Spur: Ein revolutionaeres Anti-Aging-Wundermittel, das kurz vor Markteinfuehrung ist, haelt keineswegs das, was es verspricht. Ihr Chef und dessen eiskalte Frau planen ein fuer Patience toedliches Komplott. Doch auf wundersame Weise wird Patience in derselben Nacht von einer aegyptischen Katze namens Midnight wieder zum Leben erweckt und als mysterioese und erotische "Catwoman" neu geboren...|2014|/mnt/Aufnahmen/2014/20140619 2009 - ATV HD - Catwoman.eit
|Havanna Eva-Spielfilm Kuba / Venezuela / Frankreich 2009 (Habana Eva)|Eva arbeitet als Schneiderin in einer Bekleidungsfabrik in Havanna und traeumt von einer Karriere als Modedesignerin. Als eines Tages ein attraktiver Mann aus dem kapitalistischen Ausland in ihr Leben tritt, werden ihre Traeume befluegelt. Turbulente Komoedie mit ueberraschenden Wendungen von der "Camera d'Or"-Preistraegerin Fina Torres.?Produziert in HD|2014|/mnt/Aufnahmen/2014/20140620 2010 - arte HD - Havanna Eva.eit
|Reisewege: Island- o  deu S||2014|/mnt/Aufnahmen/2014/20140622 0415 - 3sat HD - Reisewege_ Island.eit
|Reinhold Messner in der Mongolei|Hautnah erleben der Abenteurer Reinhold Messner und sein 14-jaehriger Sohn Simon den Alltag der Nomaden in der Mongolei. Die beiden Tiroler sind fuer die Sendereihe Laender-Menschen-Abenteuer in den Hohen Altai gereist, in das Land von Dschingis Khan. Dort, im unzugaenglichen Westen der Mongolei, nahe der Grenze zu China, leben die Tuwa, ein rund 4.000 Mitglieder starker Nomaden-Stamm, der mit Pferden, Yaks, Schafen und Ziegen ganzjaehrig durch die Steppe zieht. ?Die Dokumentation "Reinhold Messn er in der Mongolei" begleitet den Abenteurer und seinen Sohn auf ihrer Reise. ...|2014|/mnt/Aufnahmen/2014/20140622 0610 - 3sat HD - Reinhold Messner in der Mongolei.eit
|Strawinsky in Hollywood-Dokumentation Deutschland 2014|Igor Strawinsky lebte von 1939 bis kurz vor seinem Tod 1971 im Herzen von Hollywood. Mehr als hundert Werke, nicht nur die, die er fuer Filme komponiert hat, sondern auch jene, die er abseits des Filmbetriebs geschaffen hat, sind im amerikanischen E xil entstanden. Die Dokumentation zeigt, wie der Komponist in seiner spaeten Schaffensphase in der Neuen Welt gelebt und gearbeitet hat, anhand von Privataufnahmen, neu gedrehten Reenactment-Szenen und Szenen aus den Hollywood-Filmen, fuer die Strawi nsky die Filmmusik schrieb.?Produziert in HD|2014|/mnt/Aufnahmen/2014/20140622 2310 - arte HD - Strawinsky in Hollywood.eit
|Ziemlich beste Freunde-!ger  (|(Komoedie, FRA 2011)?104.01|2014|/mnt/Aufnahmen/2014/20140708 1009 - ORF1 HD - Ziemlich beste Freunde.eit
